,Field ID,Unnamed: 0,Unique Name,Question Stem,Data type,Full Answer,Select one/Toggle multiple/Enter integer answer,Category
220,3637.0,Frequency.of.other.exercises.in.last.4.weeks...Instance.0_4,WP4C2,"How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?",Logical,4 : 2-3 times a week,Select one answer,Lifestyle and environment
221,3637.0,Frequency.of.other.exercises.in.last.4.weeks...Instance.0_5,WP4C2,"How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?",Logical,5 : 4-5 times a week,Select one answer,Lifestyle and environment
223,943.0,Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_0,WP4A,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",Logical,0 : None,Select one answer,Lifestyle and environment
224,943.0,Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_1,WP4A,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",Logical,1 : 1-5 times a day,Select one answer,Lifestyle and environment
225,943.0,Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_2,WP4A,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",Logical,2 : 6-10 times a day,Select one answer,Lifestyle and environment
226,943.0,Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_3,WP4A,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",Logical,3 : 11-15 times a day,Select one answer,Lifestyle and environment
227,943.0,Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_4,WP4A,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",Logical,4 : 16-20 times a day,Select one answer,Lifestyle and environment
228,943.0,Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_5,WP4A,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",Logical,5 : More than 20 times a day,Select one answer,Lifestyle and environment
229,991.0,Frequency.of.strenuous.sports.in.last.4.weeks...Instance.0_1,WP4C3,How many times in the last 4 weeks did you do strenuous sports?,Logical,1 : Once in the last 4 weeks,Select one answer,Lifestyle and environment
230,991.0,Frequency.of.strenuous.sports.in.last.4.weeks...Instance.0_2,WP4C3,How many times in the last 4 weeks did you do strenuous sports?,Logical,2 : 2-3 times in the last 4 weeks,Select one answer,Lifestyle and environment
231,991.0,Frequency.of.strenuous.sports.in.last.4.weeks...Instance.0_3,WP4C3,How many times in the last 4 weeks did you do strenuous sports?,Logical,3 : Once a week,Select one answer,Lifestyle and environment
232,991.0,Frequency.of.strenuous.sports.in.last.4.weeks...Instance.0_4,WP4C3,How many times in the last 4 weeks did you do strenuous sports?,Logical,4 : 2-3 times a week,Select one answer,Lifestyle and environment
233,991.0,Frequency.of.strenuous.sports.in.last.4.weeks...Instance.0_5,WP4C3,How many times in the last 4 weeks did you do strenuous sports?,Logical,5 : 4-5 times a week,Select one answer,Lifestyle and environment
235,971.0,Frequency.of.walking.for.pleasure.in.last.4.weeks...Instance.0_1,WP4C1,How many times in the last 4 weeks did you go walking for pleasure?,Logical,1 : Once in the last 4 weeks,Select one answer,Lifestyle and environment
236,971.0,Frequency.of.walking.for.pleasure.in.last.4.weeks...Instance.0_2,WP4C1,How many times in the last 4 weeks did you go walking for pleasure?,Logical,2 : 2-3 times in the last 4 weeks,Select one answer,Lifestyle and environment
237,971.0,Frequency.of.walking.for.pleasure.in.last.4.weeks...Instance.0_3,WP4C1,How many times in the last 4 weeks did you go walking for pleasure?,Logical,3 : Once a week,Select one answer,Lifestyle and environment
241,6162.0,Types.of.transport.used..excluding.work....Instance.0_1,WP4AA,"In the last 4 weeks, which forms of transport have you used most often to get about?
(Not including any journeys to and from work; you can select more than one answer)",Logical,1 : Car/motor vehicle,Toggle multiple answer,Lifestyle and environment
242,6162.0,Types.of.transport.used..excluding.work....Instance.0_2,WP4AA,"In the last 4 weeks, which forms of transport have you used most often to get about?
(Not including any journeys to and from work; you can select more than one answer)",Logical,2 : Walk,Toggle multiple answer,Lifestyle and environment
243,6162.0,Types.of.transport.used..excluding.work....Instance.0_3,WP4AA,"In the last 4 weeks, which forms of transport have you used most often to get about?
(Not including any journeys to and from work; you can select more than one answer)",Logical,3 : Public transport,Toggle multiple answer,Lifestyle and environment
244,6162.0,Types.of.transport.used..excluding.work....Instance.0_4,WP4AA,"In the last 4 weeks, which forms of transport have you used most often to get about?
(Not including any journeys to and from work; you can select more than one answer)",Logical,4 : Cycle,Toggle multiple answer,Lifestyle and environment
245,6162.0,Types.of.transport.used..excluding.work....Instance.0_neg7,WP4AA,"In the last 4 weeks, which forms of transport have you used most often to get about?
(Not including any journeys to and from work; you can select more than one answer)",Logical,-7 : None of the above,Select one answer,Lifestyle and environment
246,924.0,Usual.walking.pace...Instance.0_1,WP4,How would you describe your usual walking pace?,Logical,1 : Slow pace,Select one answer,Lifestyle and environment
247,924.0,Usual.walking.pace...Instance.0_2,WP4,How would you describe your usual walking pace?,Logical,2 : Steady average pace,Select one answer,Lifestyle and environment
248,924.0,Usual.walking.pace...Instance.0_3,WP4,How would you describe your usual walking pace?,Logical,3 : Brisk pace,Select one answer,Lifestyle and environment
249,924.0,Usual.walking.pace...Instance.0_neg7,WP4,How would you describe your usual walking pace?,Logical,-7 : None of the above,Select one answer,Lifestyle and environment
250,1120.0,Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_0,MB2,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",Logical,0 : Less than 5mins,Select one answer,Lifestyle and environment
251,1120.0,Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_1,MB2,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",Logical,1 : 5-29 mins,Select one answer,Lifestyle and environment
252,1120.0,Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_2,MB2,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",Logical,2 : 30-59 mins,Select one answer,Lifestyle and environment
253,1120.0,Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_3,MB2,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",Logical,3 : 1-3 hours,Select one answer,Lifestyle and environment
254,1120.0,Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_4,MB2,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",Logical,4 : 4-6 hours,Select one answer,Lifestyle and environment
255,1120.0,Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_5,MB2,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",Logical,5 : More than 6 hours,Select one answer,Lifestyle and environment
256,1130.0,Hands.free.device.speakerphone.use.with.mobile.phone.in.last.3.month...Instance.0_0,MB2A,"Over the last 3 months, how often have you used a hands-free device/speakerphone when making or receiving calls on your mobile?",Logical,0 : Never or almost never,Select one answer,Lifestyle and environment
257,1130.0,Hands.free.device.speakerphone.use.with.mobile.phone.in.last.3.month...Instance.0_1,MB2A,"Over the last 3 months, how often have you used a hands-free device/speakerphone when making or receiving calls on your mobile?",Logical,1 : Less than half the time,Select one answer,Lifestyle and environment
258,1130.0,Hands.free.device.speakerphone.use.with.mobile.phone.in.last.3.month...Instance.0_2,MB2A,"Over the last 3 months, how often have you used a hands-free device/speakerphone when making or receiving calls on your mobile?",Logical,2 : About half the time,Select one answer,Lifestyle and environment
262,1140.0,Difference.in.mobile.phone.use.compared.to.two.years.previously...Instance.0_1,MB3,Is there any difference between your mobile phone use now compared to two years ago?,Logical,"1 : Yes, use is now less frequent",Select one answer,Lifestyle and environment
263,1140.0,Difference.in.mobile.phone.use.compared.to.two.years.previously...Instance.0_2,MB3,Is there any difference between your mobile phone use now compared to two years ago?,Logical,"2 : Yes, use is now more frequent",Select one answer,Lifestyle and environment
264,1140.0,Difference.in.mobile.phone.use.compared.to.two.years.previously...Instance.0_3,MB3,Is there any difference between your mobile phone use now compared to two years ago?,Logical,3 : I didn't use a mobile phone two years ago,Select one answer,Lifestyle and environment
265,1150.0,Usual.side.of.head.for.mobile.phone.use...Instance.0_1,MB3A,On what side of the head do you usually use a mobile phone?,Logical,1 : Left,Select one answer,Lifestyle and environment
266,1150.0,Usual.side.of.head.for.mobile.phone.use...Instance.0_2,MB3A,On what side of the head do you usually use a mobile phone?,Logical,2 : Right,Select one answer,Lifestyle and environment
268,1110.0,Length.of.mobile.phone.use...Instance.0_0,MB1,For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?,Logical,0 : Never used mobile phone at least once per week,Select one answer,Lifestyle and environment
269,1110.0,Length.of.mobile.phone.use...Instance.0_1,MB1,For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?,Logical,1 : One year or less,Select one answer,Lifestyle and environment
270,1110.0,Length.of.mobile.phone.use...Instance.0_2,MB1,For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?,Logical,2 : Two to four years,Select one answer,Lifestyle and environment
271,1110.0,Length.of.mobile.phone.use...Instance.0_3,MB1,For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?,Logical,3 : Five to eight years,Select one answer,Lifestyle and environment
272,1110.0,Length.of.mobile.phone.use...Instance.0_4,MB1,For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?,Logical,4 : More than eight years,Select one answer,Lifestyle and environment
273,2237.0,Plays.computer.games...Instance.0_0,F1,Do you play computer games?,Logical,0 : Never/rarely,Select one answer,Lifestyle and environment
276,1170.0,Getting.up.in.morning...Instance.0_1,SL1AA,"On an average day, how easy do you find getting up in the morning?",Logical,1 : Not at all easy,Select one answer,Lifestyle and environment
277,1170.0,Getting.up.in.morning...Instance.0_2,SL1AA,"On an average day, how easy do you find getting up in the morning?",Logical,2 : Not very easy,Select one answer,Lifestyle and environment
278,1170.0,Getting.up.in.morning...Instance.0_3,SL1AA,"On an average day, how easy do you find getting up in the morning?",Logical,3 : Fairly easy,Select one answer,Lifestyle and environment
279,1170.0,Getting.up.in.morning...Instance.0_4,SL1AA,"On an average day, how easy do you find getting up in the morning?",Logical,4 : Very easy,Select one answer,Lifestyle and environment
280,1180.0,Morning.evening.person..chronotype....Instance.0_1,SL1AB,Do you consider yourself to be?,Logical,1 : Definitely a 'morning' person,Select one answer,Lifestyle and environment
281,1180.0,Morning.evening.person..chronotype....Instance.0_2,SL1AB,Do you consider yourself to be?,Logical,2 : More a 'morning' than 'evening' person,Select one answer,Lifestyle and environment
284,1190.0,Nap.during.day...Instance.0_1,SL1A,Do you have a nap during the day?,Logical,1 : Never/rarely,Select one answer,Lifestyle and environment
285,1190.0,Nap.during.day...Instance.0_2,SL1A,Do you have a nap during the day?,Logical,2 : Sometimes,Select one answer,Lifestyle and environment
286,1190.0,Nap.during.day...Instance.0_3,SL1A,Do you have a nap during the day?,Logical,3 : Usually,Select one answer,Lifestyle and environment
287,1200.0,Sleeplessness...insomnia...Instance.0_1,SL2,Do you have trouble falling asleep at night or do you wake up in the middle of the night?,Logical,1 : Never/rarely,Select one answer,Lifestyle and environment
288,1200.0,Sleeplessness...insomnia...Instance.0_2,SL2,Do you have trouble falling asleep at night or do you wake up in the middle of the night?,Logical,2 : Sometimes,Select one answer,Lifestyle and environment
289,1200.0,Sleeplessness...insomnia...Instance.0_3,SL2,Do you have trouble falling asleep at night or do you wake up in the middle of the night?,Logical,3 : Usually,Select one answer,Lifestyle and environment
290,1210.0,Snoring...Instance.0_1,SL3,Does your partner or a close relative or friend complain about your snoring?,Logical,1 : Yes,Select one answer,Lifestyle and environment
291,1210.0,Snoring...Instance.0_2,SL3,Does your partner or a close relative or friend complain about your snoring?,Logical,2 : No,Select one answer,Lifestyle and environment
293,1220.0,Daytime.dozing...sleeping...Instance.0_1,SL4,"How likely are you to doze off or fall asleep during the daytime when you don't mean to? (e.g. when working, reading or driving)",Logical,1 : Sometimes,Select one answer,Lifestyle and environment
294,1220.0,Daytime.dozing...sleeping...Instance.0_2,SL4,"How likely are you to doze off or fall asleep during the daytime when you don't mean to? (e.g. when working, reading or driving)",Logical,2 : Often,Select one answer,Lifestyle and environment
295,20116.0,Smoking.status...Instance.0_0,S1 & S2,Current Field is partly derived from S1 & S2,Logical,0 : Never,Select one answer,Lifestyle and environment
296,20116.0,Smoking.status...Instance.0_1,S1 & S2,Current Field is partly derived from S1 & S2,Logical,1 : Previous,Select one answer,Lifestyle and environment
298,1239.0,Current.tobacco.smoking...Instance.0_0,S1,Do you smoke tobacco now?,Logical,0 : No,Select one answer,Lifestyle and environment
299,1239.0,Current.tobacco.smoking...Instance.0_1,S1,Do you smoke tobacco now?,Logical,"1 : Yes, on most or all days",Select one answer,Lifestyle and environment
302,1249.0,Past.tobacco.smoking...Instance.0_2,S2,"In the past, how often have you smoked tobacco?",Logical,2 : Smoked occasionally,Select one answer,Lifestyle and environment
303,1249.0,Past.tobacco.smoking...Instance.0_3,S2,"In the past, how often have you smoked tobacco?",Logical,3 : Just tried once or twice,Select one answer,Lifestyle and environment
304,1249.0,Past.tobacco.smoking...Instance.0_4,S2,"In the past, how often have you smoked tobacco?",Logical,4 : I have never smoked,Select one answer,Lifestyle and environment
305,2644.0,Light.smokers..at.least.100.smokes.in.lifetime...Instance.0_0,S2A,"In your lifetime, have you smoked a total of at least 100 times?",Logical,0 : No,Select one answer,Lifestyle and environment
307,3436.0,Age.started.smoking.in.current.smokers...Instance.0_Lower.third,S3,How old were you when you first started smoking on most days?,Logical,,Enter integer answer,Lifestyle and environment
308,3436.0,Age.started.smoking.in.current.smokers...Instance.0_Middle.third,S3,How old were you when you first started smoking on most days?,Logical,,Enter integer answer,Lifestyle and environment
309,3436.0,Age.started.smoking.in.current.smokers...Instance.0_Upper.third,S3,How old were you when you first started smoking on most days?,Logical,,Enter integer answer,Lifestyle and environment
310,3446.0,Type.of.tobacco.currently.smoked...Instance.0_1,S4,What type of tobacco do you mainly smoke?,Logical,1 : Manufactured cigarettes,Select one answer,Lifestyle and environment
311,3446.0,Type.of.tobacco.currently.smoked...Instance.0_2,S4,What type of tobacco do you mainly smoke?,Logical,2 : Hand-rolled cigarettes,Select one answer,Lifestyle and environment
312,3446.0,Type.of.tobacco.currently.smoked...Instance.0_3,S4,What type of tobacco do you mainly smoke?,Logical,3 : Cigars or pipes,Select one answer,Lifestyle and environment
313,5959.0,Previously.smoked.cigarettes.on.most.all.days...Instance.0_0,S4AA,Did you previously smoke cigarettes on most or all days?,Logical,0 : No,Select one answer,Lifestyle and environment
314,5959.0,Previously.smoked.cigarettes.on.most.all.days...Instance.0_1,S4AA,Did you previously smoke cigarettes on most or all days?,Logical,1 : Yes,Select one answer,Lifestyle and environment
316,3456.0,Number.of.cigarettes.currently.smoked.daily..current.cigarette.smokers....Instance.0_Middle.third,S4AB,About how many cigarettes did you smoke on average each day?,Logical,,Enter integer answer,Lifestyle and environment
317,3456.0,Number.of.cigarettes.currently.smoked.daily..current.cigarette.smokers....Instance.0_Upper.third,S4AB,About how many cigarettes did you smoke on average each day?,Logical,,Enter integer answer,Lifestyle and environment
318,6194.0,Age.stopped.smoking.cigarettes..current.cigar.pipe.or.previous.cigarette.smoker....Instance.0_Middle.third,S4AC,How old were you when you last smoked cigarettes on most days?,Logical,,Enter integer answer,Lifestyle and environment
319,6194.0,Age.stopped.smoking.cigarettes..current.cigar.pipe.or.previous.cigarette.smoker....Instance.0_Upper.third,S4AC,How old were you when you last smoked cigarettes on most days?,Logical,,Enter integer answer,Lifestyle and environment
320,6183.0,Number.of.cigarettes.previously.smoked.daily..current.cigar.pipe.smokers....Instance.0_Lower.third,S4A,About how many cigarettes do you smoke on average each day?,Logical,,Enter integer answer,Lifestyle and environment
321,6183.0,Number.of.cigarettes.previously.smoked.daily..current.cigar.pipe.smokers....Instance.0_Middle.third,S4A,About how many cigarettes do you smoke on average each day?,Logical,,Enter integer answer,Lifestyle and environment
322,3466.0,Time.from.waking.to.first.cigarette...Instance.0_1,S4B,How soon after waking do you smoke your first cigarette of the day?,Logical,1 : Less than 5 minutes,Select one answer,Lifestyle and environment
323,3466.0,Time.from.waking.to.first.cigarette...Instance.0_2,S4B,How soon after waking do you smoke your first cigarette of the day?,Logical,2 : Between 5-15 minutes,Select one answer,Lifestyle and environment
324,3466.0,Time.from.waking.to.first.cigarette...Instance.0_3,S4B,How soon after waking do you smoke your first cigarette of the day?,Logical,3 : Between 30 minutes - 1 hour,Select one answer,Lifestyle and environment
325,3466.0,Time.from.waking.to.first.cigarette...Instance.0_4,S4B,How soon after waking do you smoke your first cigarette of the day?,Logical,4 : Between 1 and 2 hours,Select one answer,Lifestyle and environment
329,3476.0,Difficulty.not.smoking.for.1.day...Instance.0_3,S4C,How easy or difficult would you find it to go without smoking for a whole day?,Logical,3 : Fairly difficult,Select one answer,Lifestyle and environment
330,3476.0,Difficulty.not.smoking.for.1.day...Instance.0_4,S4C,How easy or difficult would you find it to go without smoking for a whole day?,Logical,4 : Very difficult,Select one answer,Lifestyle and environment
331,3486.0,Ever.tried.to.stop.smoking...Instance.0_0,S5,Have you tried to give up smoking?,Logical,0 : No,Select one answer,Lifestyle and environment
332,3486.0,Ever.tried.to.stop.smoking...Instance.0_1,S5,Have you tried to give up smoking?,Logical,"1 : Yes, tried but was not able to stop or stopped for less than 6 months",Select one answer,Lifestyle and environment
333,3486.0,Ever.tried.to.stop.smoking...Instance.0_2,S5,Have you tried to give up smoking?,Logical,"2 : Yes, tried and stopped for at least 6 months",Select one answer,Lifestyle and environment
334,3496.0,Wants.to.stop.smoking...Instance.0_1,S5AA,Do you want to stop smoking?,Logical,"1 : Yes, definitely",Select one answer,Lifestyle and environment
335,3496.0,Wants.to.stop.smoking...Instance.0_2,S5AA,Do you want to stop smoking?,Logical,"2 : Yes, probably",Select one answer,Lifestyle and environment
336,3496.0,Wants.to.stop.smoking...Instance.0_3,S5AA,Do you want to stop smoking?,Logical,"3 : No, probably not",Select one answer,Lifestyle and environment
337,3496.0,Wants.to.stop.smoking...Instance.0_4,S5AA,Do you want to stop smoking?,Logical,"4 : No, definitely not",Select one answer,Lifestyle and environment
338,3506.0,Smoking.compared.to.10.years.previous...Instance.0_1,S5A,Compared to 10 years ago do you smoke...,Logical,1 : More nowadays?,Select one answer,Lifestyle and environment
339,3506.0,Smoking.compared.to.10.years.previous...Instance.0_2,S5A,Compared to 10 years ago do you smoke...,Logical,2 : About the same?,Select one answer,Lifestyle and environment
340,3506.0,Smoking.compared.to.10.years.previous...Instance.0_3,S5A,Compared to 10 years ago do you smoke...,Logical,3 : Less nowadays?,Select one answer,Lifestyle and environment
341,6158.0,Why.reduced.smoking...Instance.0_1,S5B,Why did you reduce your smoking? (You can select more than one answer),Logical,1 : Illness or ill health,Toggle multiple answer,Lifestyle and environment
342,6158.0,Why.reduced.smoking...Instance.0_2,S5B,Why did you reduce your smoking? (You can select more than one answer),Logical,2 : Doctor's advice,Toggle multiple answer,Lifestyle and environment
343,6158.0,Why.reduced.smoking...Instance.0_3,S5B,Why did you reduce your smoking? (You can select more than one answer),Logical,3 : Health precaution,Toggle multiple answer,Lifestyle and environment
344,6158.0,Why.reduced.smoking...Instance.0_4,S5B,Why did you reduce your smoking? (You can select more than one answer),Logical,4 : Financial reasons,Toggle multiple answer,Lifestyle and environment
345,6158.0,Why.reduced.smoking...Instance.0_neg7,S5B,Why did you reduce your smoking? (You can select more than one answer),Logical,-7 : None of the above,Select one answer,Lifestyle and environment
346,2867.0,Age.started.smoking.in.former.smokers...Instance.0_Lower.third,S6,How old were you when you first started smoking on most days?,Logical,,Enter integer answer,Lifestyle and environment
347,2867.0,Age.started.smoking.in.former.smokers...Instance.0_Middle.third,S6,How old were you when you first started smoking on most days?,Logical,,Enter integer answer,Lifestyle and environment
348,2867.0,Age.started.smoking.in.former.smokers...Instance.0_Upper.third,S6,How old were you when you first started smoking on most days?,Logical,,Enter integer answer,Lifestyle and environment
349,2877.0,Type.of.tobacco.previously.smoked...Instance.0_1,S7,What type of tobacco did you usually smoke?,Logical,1 : Manufactured cigarettes,Select one answer,Lifestyle and environment
351,2877.0,Type.of.tobacco.previously.smoked...Instance.0_3,S7,What type of tobacco did you usually smoke?,Logical,3 : Cigars or pipes,Select one answer,Lifestyle and environment
352,2887.0,Number.of.cigarettes.previously.smoked.daily...Instance.0_Lower.third,S7A,About how many cigarettes did you smoke on average each day?,Logical,,Enter integer answer,Lifestyle and environment
353,2887.0,Number.of.cigarettes.previously.smoked.daily...Instance.0_Middle.third,S7A,About how many cigarettes did you smoke on average each day?,Logical,,Enter integer answer,Lifestyle and environment
356,2897.0,Age.stopped.smoking...Instance.0_Middle.third,S8,How old were you when you last smoked on most days?,Logical,,Enter integer answer,Lifestyle and environment
358,2907.0,Ever.stopped.smoking.for.6..months...Instance.0_0,S9,"In the time that you smoked, did you ever stop for more than 6 months?",Logical,0 : No,Select one answer,Lifestyle and environment
359,2907.0,Ever.stopped.smoking.for.6..months...Instance.0_1,S9,"In the time that you smoked, did you ever stop for more than 6 months?",Logical,1 : Yes,Select one answer,Lifestyle and environment
360,6157.0,Why.stopped.smoking...Instance.0_1,S10,"Why did you stop smoking?
(You can select more than one answer)",Logical,1 : Illness or ill health,Toggle multiple answer,Lifestyle and environment
361,6157.0,Why.stopped.smoking...Instance.0_2,S10,"Why did you stop smoking?
(You can select more than one answer)",Logical,2 : Doctor's advice,Toggle multiple answer,Lifestyle and environment
362,6157.0,Why.stopped.smoking...Instance.0_3,S10,"Why did you stop smoking?
(You can select more than one answer)",Logical,3 : Health precaution,Toggle multiple answer,Lifestyle and environment
363,6157.0,Why.stopped.smoking...Instance.0_4,S10,"Why did you stop smoking?
(You can select more than one answer)",Logical,4 : Financial reasons,Toggle multiple answer,Lifestyle and environment
364,6157.0,Why.stopped.smoking...Instance.0_neg7,S10,"Why did you stop smoking?
(You can select more than one answer)",Logical,-7 : None of the above,Select one answer,Lifestyle and environment
365,2926.0,Number.of.unsuccessful.stop.smoking.attempts...Instance.0_Lower.third,S10A,How many times did you try to give up smoking before you were successful?,Logical,,Enter integer answer,Lifestyle and environment
366,2926.0,Number.of.unsuccessful.stop.smoking.attempts...Instance.0_Middle.third,S10A,How many times did you try to give up smoking before you were successful?,Logical,,Enter integer answer,Lifestyle and environment
367,2926.0,Number.of.unsuccessful.stop.smoking.attempts...Instance.0_Upper.third,S10A,How many times did you try to give up smoking before you were successful?,Logical,,Enter integer answer,Lifestyle and environment
368,2936.0,Likelihood.of.resuming.smoking...Instance.0_2,S10B,Do you think you may start smoking again?,Logical,"2 : Yes, probably",Select one answer,Lifestyle and environment
369,2936.0,Likelihood.of.resuming.smoking...Instance.0_3,S10B,Do you think you may start smoking again?,Logical,"3 : No, probably not",Select one answer,Lifestyle and environment
370,2936.0,Likelihood.of.resuming.smoking...Instance.0_4,S10B,Do you think you may start smoking again?,Logical,"4 : No, definitely not",Select one answer,Lifestyle and environment
371,1259.0,Smoking.smokers.in.household...Instance.0_0,S11,Does anyone in your household smoke?,Logical,0 : No,Select one answer,Lifestyle and environment
374,1269.0,Exposure.to.tobacco.smoke.at.home...Instance.0_Middle.third,S12,"At home, about how many hours per WEEK are you exposed to other people's tobacco smoke?",Logical,,Enter integer answer,Lifestyle and environment
375,1269.0,Exposure.to.tobacco.smoke.at.home...Instance.0_Upper.third,S12,"At home, about how many hours per WEEK are you exposed to other people's tobacco smoke?",Logical,,Enter integer answer,Lifestyle and environment
376,1279.0,Exposure.to.tobacco.smoke.outside.home...Instance.0_Middle.third,S13,"Outside of your home, about how many hours per WEEK are you exposed to other people's tobacco smoke?",Logical,,Enter integer answer,Lifestyle and environment
377,1279.0,Exposure.to.tobacco.smoke.outside.home...Instance.0_Upper.third,S13,"Outside of your home, about how many hours per WEEK are you exposed to other people's tobacco smoke?",Logical,,Enter integer answer,Lifestyle and environment
378,1329.0,Oily.fish.intake...Instance.0_0,DT4,"How often do you eat oily fish?
(e.g. sardines, salmon, mackerel, herring)",Logical,0 : Never,Select one answer,Lifestyle and environment
379,1329.0,Oily.fish.intake...Instance.0_1,DT4,"How often do you eat oily fish?
(e.g. sardines, salmon, mackerel, herring)",Logical,1 : Less than once a week,Select one answer,Lifestyle and environment
381,1329.0,Oily.fish.intake...Instance.0_3,DT4,"How often do you eat oily fish?
(e.g. sardines, salmon, mackerel, herring)",Logical,3 : 2-4 times a week,Select one answer,Lifestyle and environment
383,1329.0,Oily.fish.intake...Instance.0_5,DT4,"How often do you eat oily fish?
(e.g. sardines, salmon, mackerel, herring)",Logical,5 : Once or more daily,Select one answer,Lifestyle and environment
385,1339.0,Non.oily.fish.intake...Instance.0_1,DT5,"How often do you eat other types of fish? (e.g. cod, tinned tuna, haddock)",Logical,1 : Less than once a week,Select one answer,Lifestyle and environment
386,1339.0,Non.oily.fish.intake...Instance.0_2,DT5,"How often do you eat other types of fish? (e.g. cod, tinned tuna, haddock)",Logical,2 : Once a week,Select one answer,Lifestyle and environment
387,1339.0,Non.oily.fish.intake...Instance.0_3,DT5,"How often do you eat other types of fish? (e.g. cod, tinned tuna, haddock)",Logical,3 : 2-4 times a week,Select one answer,Lifestyle and environment
391,1349.0,Processed.meat.intake...Instance.0_1,DT8,"How often do you eat processed meats (such as bacon, ham, sausages, meat pies, kebabs, burgers, chicken nuggets)?",Logical,1 : Less than once a week,Select one answer,Lifestyle and environment
393,1349.0,Processed.meat.intake...Instance.0_3,DT8,"How often do you eat processed meats (such as bacon, ham, sausages, meat pies, kebabs, burgers, chicken nuggets)?",Logical,3 : 2-4 times a week,Select one answer,Lifestyle and environment
394,1349.0,Processed.meat.intake...Instance.0_4,DT8,"How often do you eat processed meats (such as bacon, ham, sausages, meat pies, kebabs, burgers, chicken nuggets)?",Logical,4 : 5-6 times a week,Select one answer,Lifestyle and environment
395,1349.0,Processed.meat.intake...Instance.0_5,DT8,"How often do you eat processed meats (such as bacon, ham, sausages, meat pies, kebabs, burgers, chicken nuggets)?",Logical,5 : Once or more daily,Select one answer,Lifestyle and environment
398,1359.0,Poultry.intake...Instance.0_2,DT6,"How often do you eat chicken, turkey or other poultry?
(Do not count processed meats)",Logical,2 : Once a week,Select one answer,Lifestyle and environment
399,1359.0,Poultry.intake...Instance.0_3,DT6,"How often do you eat chicken, turkey or other poultry?
(Do not count processed meats)",Logical,3 : 2-4 times a week,Select one answer,Lifestyle and environment
400,1359.0,Poultry.intake...Instance.0_4,DT6,"How often do you eat chicken, turkey or other poultry?
(Do not count processed meats)",Logical,4 : 5-6 times a week,Select one answer,Lifestyle and environment
402,1369.0,Beef.intake...Instance.0_0,DT7,How often do you eat beef? (Do not count processed meats),Logical,0 : Never,Select one answer,Lifestyle and environment
403,1369.0,Beef.intake...Instance.0_1,DT7,How often do you eat beef? (Do not count processed meats),Logical,1 : Less than once a week,Select one answer,Lifestyle and environment
404,1369.0,Beef.intake...Instance.0_2,DT7,How often do you eat beef? (Do not count processed meats),Logical,2 : Once a week,Select one answer,Lifestyle and environment
405,1369.0,Beef.intake...Instance.0_3,DT7,How often do you eat beef? (Do not count processed meats),Logical,3 : 2-4 times a week,Select one answer,Lifestyle and environment
406,1369.0,Beef.intake...Instance.0_4,DT7,How often do you eat beef? (Do not count processed meats),Logical,4 : 5-6 times a week,Select one answer,Lifestyle and environment
407,1379.0,Lamb.mutton.intake...Instance.0_0,DT7A,How often do you eat lamb/mutton? (Do not count processed meats),Logical,0 : Never,Select one answer,Lifestyle and environment
408,1379.0,Lamb.mutton.intake...Instance.0_1,DT7A,How often do you eat lamb/mutton? (Do not count processed meats),Logical,1 : Less than once a week,Select one answer,Lifestyle and environment
409,1379.0,Lamb.mutton.intake...Instance.0_2,DT7A,How often do you eat lamb/mutton? (Do not count processed meats),Logical,2 : Once a week,Select one answer,Lifestyle and environment
